gene_name,em0-2hr,em2-4hr,em4-6hr,em6-8hr,em8-10hr,em10-12hr,em12-14hr,em14-16hr,em16-18hr,em18-20hr,em20-22hr,em22-24hr
128up,3.92E+01,1.36E+01,2.01E+01,2.82E+01,3.01E+01,4.19E+01,3.08E+01,2.39E+01,1.84E+01,1.41E+01,1.64E+01,1.53E+01
14-3-3epsilon,8.21E+01,1.35E+02,1.01E+02,1.13E+02,1.03E+02,9.40E+01,7.99E+01,6.80E+01,7.01E+01,5.09E+01,5.45E+01,5.98E+01
14-3-3zeta,2.01E+01,2.66E+01,2.63E+01,3.85E+01,4.66E+01,6.09E+01,7.61E+01,3.74E+01,5.78E+01,5.28E+01,5.58E+01,7.02E+01
140up,6.97E+00,2.47E+00,4.01E+00,4.80E+00,5.11E+00,6.02E+00,7.12E+00,3.05E+00,4.60E+00,2.94E+00,2.79E+00,3.16E+00
18w,1.17E+00,2.45E+01,4.98E+01,4.84E+01,4.18E+01,2.78E+01,3.00E+01,2.88E+01,1.42E+01,8.94E+00,4.18E+00,4.15E+00
26-29-p,4.07E+02,5.89E+01,5.69E+00,2.70E+00,3.86E+00,4.86E+00,7.09E+00,1.53E+01,1.22E+01,1.01E+01,4.46E+00,4.98E+00
2mit,1.02E-02,1.00E-01,2.44E-01,1.53E-01,1.62E-01,2.36E-01,8.27E-01,8.88E-01,1.37E+00,1.18E+00,8.43E-01,1.13E+00
312,3.48E+00,3.51E+00,5.17E+00,5.20E+00,4.85E+00,5.85E+00,4.11E+00,2.99E+00,2.50E+00,2.09E+00,2.41E+00,2.42E+00
4EHP,1.47E+00,1.55E+00,2.39E+00,1.42E+00,1.32E+00,1.05E+00,1.57E+00,1.21E+00,1.85E+00,1.79E+00,2.33E+00,3.01E+00
5-HT1A,6.96E-04,2.97E-03,1.76E-03,4.08E-03,6.15E-03,9.84E-03,3.56E-02,1.79E-01,3.65E-01,5.41E-01,5.11E-01,5.69E-01
5-HT1B,0.00E+00,4.15E-03,2.47E-03,7.93E-03,9.17E-03,1.24E-02,4.04E-02,1.95E-01,3.05E-01,4.46E-01,5.39E-01,6.32E-01
5-HT2,1.45E-02,3.25E-01,5.49E-01,1.75E-01,1.15E-01,1.03E-01,9.71E-02,7.82E-02,9.04E-02,1.08E-01,1.57E-01,1.92E-01
5-HT7,1.17E-03,4.31E-03,4.87E-03,2.34E-03,3.91E-03,6.68E-03,3.97E-02,1.19E-01,1.89E-01,2.64E-01,2.42E-01,3.03E-01
5.8SrRNA:CR40454,1.12E+00,2.16E+00,2.92E+00,1.16E+01,1.06E+01,4.42E+00,9.66E+00,2.43E+00,4.23E+00,1.09E+01,8.24E+00,1.92E+01
5PtaseI,4.12E+00,7.80E-01,8.27E-01,1.39E+00,1.83E+00,2.45E+00,4.36E+00,2.95E+00,3.73E+00,3.37E+00,2.31E+00,3.27E+00
5SrRNA:CR33353,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
5SrRNA:CR33354,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
5SrRNA:CR33355,0.00E+00,0.00E+00,0.00E+00,2.76E-02,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
5SrRNA:CR33357,0.00E+00,3.01E-02,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
5SrRNA:CR33358,0.00E+00,5.10E-02,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,3.68E-02,0.00E+00
5SrRNA:CR33359,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
5SrRNA:CR33360,0.00E+00,0.00E+00,1.69E-02,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
5SrRNA:CR33361,0.00E+00,1.12E-01,8.43E-03,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.84E-02
5SrRNA:CR33362,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
5SrRNA:CR33364,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
5SrRNA:CR33365,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
5SrRNA:CR33366,0.00E+00,9.37E-02,0.00E+00,2.98E-02,6.41E-02,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
5SrRNA:CR33367,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
5SrRNA:CR33368,0.00E+00,3.68E-02,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
5SrRNA:CR33369,2.23E-03,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.73E-02,0.00E+00,2.01E-03,2.83E-02,2.12E-02,0.00E+00
5SrRNA:CR33370,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
5SrRNA:CR33372,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
5SrRNA:CR33373,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
5SrRNA:CR33374,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
5SrRNA:CR33375,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
5SrRNA:CR33376,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
5SrRNA:CR33377,0.00E+00,3.43E-02,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
5SrRNA:CR33378,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
5SrRNA:CR33379,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
5SrRNA:CR33380,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
5SrRNA:CR33381,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
5SrRNA:CR33382,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
5SrRNA:CR33383,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
