gene_name, cluster_assignment, em0-2hr, em2-4hr, em4-6hr, em6-8hr, em8-10hr, em10-12hr, em12-14hr, em14-16hr, em16-18hr, em18-20hr, em20-22hr, em22-24hr
128up, 0, 39.2, 13.6, 20.1, 28.2, 30.1, 41.9, 30.8, 23.9, 18.4, 14.1, 16.4, 15.3
14-3-3epsilon, 2, 82.1, 135.0, 101.0, 113.0, 103.0, 94.0, 79.9, 68.0, 70.1, 50.9, 54.5, 59.8
14-3-3zeta, 5, 20.1, 26.6, 26.3, 38.5, 46.6, 60.9, 76.1, 37.4, 57.8, 52.8, 55.8, 70.2
18w, 0, 1.17, 24.5, 49.8, 48.4, 41.8, 27.8, 30.0, 28.8, 14.2, 8.94, 4.18, 4.15
26-29-p, 0, 407.0, 58.9, 5.69, 2.7, 3.86, 4.86, 7.09, 15.3, 12.2, 10.1, 4.46, 4.98
7B2, 0, 0.0817, 0.148, 0.141, 0.313, 0.563, 2.21, 2.28, 6.9, 15.9, 30.2, 32.5, 31.6
7SLRNA:CR32864, 5, 49.5, 72.0, 31.0, 79.7, 86.5, 79.9, 78.3, 183.0, 158.0, 352.0, 185.0, 112.0
7SLRNA:CR42652, 5, 50.4, 71.6, 32.4, 77.7, 90.0, 81.3, 78.1, 179.0, 158.0, 355.0, 185.0, 111.0
825-Oak, 0, 0.175, 0.251, 0.128, 0.0317, 0.275, 0.155, 0.0963, 4.27, 53.0, 155.0, 1.99, 2.48
A16, 0, 22.2, 14.1, 25.2, 24.9, 17.5, 16.6, 13.2, 10.4, 8.26, 7.86, 5.58, 5.51
ABCB7, 0, 11.7, 5.53, 9.69, 7.5, 6.99, 6.72, 5.7, 4.82, 7.62, 15.1, 20.0, 21.4
ACC, 0, 8.35, 0.774, 0.941, 1.57, 3.01, 3.33, 4.97, 11.4, 21.5, 40.5, 44.4, 54.9
AGO1, 0, 16.0, 22.1, 21.2, 21.1, 21.1, 18.4, 23.9, 18.9, 17.6, 13.5, 13.8, 16.2
AGO2, 0, 20.8, 33.7, 41.8, 32.9, 34.2, 30.2, 33.8, 33.3, 32.1, 29.9, 23.8, 26.2
AIF, 0, 27.3, 7.6, 10.8, 12.8, 11.8, 14.4, 14.4, 12.5, 10.7, 7.99, 7.74, 7.47
ALiX, 0, 25.5, 26.0, 13.1, 15.1, 18.9, 25.5, 18.7, 19.1, 15.6, 15.7, 20.7, 23.0
AP-1gamma, 0, 23.3, 14.1, 5.96, 7.77, 9.59, 10.7, 10.9, 13.1, 10.6, 9.74, 8.68, 8.58
AP-2sigma, 0, 31.1, 22.9, 48.2, 48.6, 47.8, 47.4, 43.3, 32.6, 36.6, 33.8, 22.6, 25.9
AP-47, 0, 44.3, 45.7, 12.1, 17.2, 27.4, 36.2, 30.9, 33.9, 28.5, 23.6, 35.9, 30.3
AP-50, 0, 28.6, 10.3, 32.1, 34.9, 31.4, 52.8, 28.8, 26.1, 22.1, 22.1, 17.7, 17.9
ATPCL, 0, 25.2, 9.93, 23.8, 21.4, 16.9, 22.8, 32.2, 45.3, 15.9, 11.3, 16.1, 18.5
ATPsyn-Cf6, 2, 91.3, 129.0, 108.0, 58.4, 71.4, 106.0, 104.0, 121.0, 146.0, 202.0, 227.0, 246.0
ATPsyn-b, 2, 100.0, 136.0, 107.0, 84.0, 79.6, 152.0, 98.3, 162.0, 176.0, 237.0, 273.0, 232.0
ATPsyn-beta, 1, 195.0, 185.0, 187.0, 163.0, 166.0, 249.0, 260.0, 272.0, 329.0, 336.0, 457.0, 374.0
ATPsyn-d, 2, 112.0, 123.0, 88.4, 72.5, 79.3, 122.0, 103.0, 134.0, 156.0, 236.0, 258.0, 255.0
ATPsyn-gamma, 3, 116.0, 81.4, 45.0, 52.1, 68.2, 135.0, 107.0, 187.0, 180.0, 238.0, 270.0, 241.0
Aac11, 0, 13.1, 40.8, 78.2, 70.3, 58.4, 35.7, 40.2, 20.6, 19.5, 12.7, 13.2, 14.9
Aats-ala, 0, 45.2, 9.89, 16.7, 22.5, 26.9, 46.2, 35.3, 38.0, 22.9, 10.9, 8.31, 7.87
Aats-arg, 0, 18.8, 4.42, 13.4, 15.6, 16.5, 18.9, 21.1, 10.8, 10.6, 7.33, 10.8, 11.5
Aats-asn, 0, 54.5, 23.9, 15.2, 19.8, 25.6, 50.5, 32.9, 34.2, 25.3, 20.8, 19.6, 18.3
Aats-asp, 0, 24.9, 9.55, 14.3, 19.4, 23.3, 30.9, 28.3, 23.9, 21.5, 18.4, 14.0, 17.5
Aats-gln, 0, 40.4, 16.9, 13.1, 12.2, 11.6, 17.2, 11.7, 11.0, 9.22, 8.47, 7.2, 6.9
Aats-glupro, 0, 19.8, 6.73, 15.7, 17.4, 18.7, 22.7, 30.5, 23.3, 14.6, 8.23, 7.08, 7.38
Aats-gly, 0, 35.6, 7.58, 11.7, 30.5, 35.2, 44.1, 38.2, 34.4, 25.0, 17.1, 10.8, 10.3
Aats-his, 0, 24.1, 15.0, 4.75, 4.18, 6.85, 12.9, 7.11, 9.08, 7.73, 7.86, 9.76, 8.07
Aats-ile, 0, 30.4, 44.5, 25.0, 18.7, 24.3, 20.1, 28.4, 19.2, 17.6, 9.45, 15.3, 19.6
Aats-lys, 0, 72.0, 65.6, 25.3, 24.6, 39.4, 51.6, 40.1, 40.5, 25.5, 20.7, 20.1, 17.2
Aats-phe, 0, 12.3, 6.43, 11.0, 16.3, 21.1, 47.3, 30.8, 24.7, 22.8, 27.6, 20.2, 19.6
Aats-thr, 0, 52.3, 59.9, 35.3, 34.3, 39.1, 47.3, 33.5, 36.7, 32.5, 27.0, 21.5, 22.5
Aats-trp, 0, 12.4, 3.31, 8.41, 10.4, 11.1, 14.0, 11.0, 8.46, 7.19, 5.36, 5.93, 5.95
Aats-tyr, 0, 39.0, 53.7, 61.2, 39.0, 46.2, 49.2, 35.6, 33.7, 30.3, 32.3, 33.4, 32.5
Aats-val, 0, 26.7, 15.6, 11.3, 13.8, 14.1, 16.9, 17.2, 18.5, 11.2, 9.64, 9.16, 7.79
Abi, 0, 24.4, 25.4, 28.0, 36.9, 33.6, 31.9, 29.2, 21.4, 17.0, 15.6, 9.54, 10.5
AcCoAS, 0, 7.62, 1.68, 1.14, 1.14, 1.46, 3.08, 2.83, 3.14, 4.1, 13.9, 36.1, 48.1
Acer, 0, 12.4, 30.4, 42.7, 32.1, 23.2, 30.7, 49.8, 46.5, 20.9, 13.1, 6.52, 8.53
Acf1, 0, 34.8, 22.3, 38.3, 31.8, 22.7, 11.4, 10.6, 6.45, 5.29, 3.67, 6.08, 7.37
Acn, 0, 28.6, 53.3, 73.6, 65.6, 50.6, 33.0, 32.2, 23.4, 19.0, 13.4, 16.9, 15.5
Acon, 5, 61.3, 62.0, 35.5, 34.6, 37.7, 55.3, 64.5, 98.9, 105.0, 129.0, 146.0, 137.0
Acph-1, 0, 28.0, 19.4, 6.91, 4.97, 10.3, 11.8, 14.1, 11.9, 17.9, 13.8, 14.9, 16.4
Act42A, 2, 92.1, 158.0, 228.0, 325.0, 379.0, 383.0, 316.0, 212.0, 140.0, 115.0, 85.3, 85.0
Act57B, 1, 12.2, 12.9, 16.2, 105.0, 260.0, 367.0, 356.0, 506.0, 463.0, 459.0, 629.0, 454.0
Act5C, 1, 311.0, 363.0, 235.0, 324.0, 375.0, 311.0, 252.0, 286.0, 283.0, 274.0, 386.0, 286.0
Act87E, 4, 3.33, 8.42, 28.3, 55.5, 83.8, 54.4, 37.6, 264.0, 456.0, 443.0, 285.0, 286.0
Actn, 0, 16.1, 7.78, 7.94, 6.85, 5.97, 11.1, 16.5, 35.3, 42.1, 67.5, 50.2, 44.5
Actr13E, 0, 27.2, 45.0, 49.8, 43.5, 37.7, 33.5, 23.3, 22.4, 15.0, 10.3, 10.2, 11.0
Ada2a, 0, 6.02, 8.85, 12.1, 14.0, 13.7, 12.4, 10.6, 7.1, 6.54, 5.98, 4.87, 5.66
Ada2b, 0, 42.2, 24.7, 18.1, 14.7, 14.4, 11.1, 9.83, 8.26, 6.57, 4.95, 6.86, 6.35
Adam, 0, 20.2, 9.54, 26.6, 27.6, 27.6, 27.1, 31.9, 22.3, 27.3, 24.0, 26.4, 30.8
Adf1, 0, 7.83, 10.4, 14.7, 17.0, 11.2, 11.3, 10.2, 7.77, 5.47, 4.44, 2.42, 2.75
Adh, 5, 37.9, 1.51, 0.922, 0.986, 1.44, 2.37, 4.97, 22.7, 37.3, 93.8, 170.0, 177.0
Adhr, 5, 38.7, 1.54, 0.941, 1.0, 1.47, 2.42, 5.06, 23.2, 38.1, 95.7, 174.0, 181.0
